row_id,day_hour,client_ip,no_get,no_post,no_head
0,01/22/2019 03,66.111.54.249,37,0,0
1,01/22/2019 03,2.177.12.140,17,0,0
2,01/22/2019 03,46.224.77.32,3,0,0
3,01/22/2019 03,178.253.33.51,6,0,0
4,01/22/2019 03,54.36.148.87,1,0,0
5,01/22/2019 03,207.46.13.104,6,0,0
6,01/22/2019 03,54.36.149.35,1,0,0
7,01/22/2019 03,54.36.148.18,1,0,0
8,01/22/2019 03,2.179.141.98,3,3,0
9,01/22/2019 03,2.185.221.79,1,0,0
10,01/22/2019 03,51.15.15.54,1,0,0
11,01/22/2019 03,5.62.206.249,1,0,0
12,01/22/2019 03,17.58.102.43,3,0,0
13,01/22/2019 03,204.18.198.248,10,0,0
14,01/22/2019 03,54.36.148.32,1,0,0
15,01/22/2019 03,157.55.39.245,3,0,0
16,01/22/2019 03,207.46.13.136,10,0,0
17,01/22/2019 03,66.249.66.194,27,0,0
18,01/22/2019 03,54.36.149.17,1,0,0
19,01/22/2019 03,54.36.148.232,1,0,0
20,01/22/2019 03,54.36.148.117,1,0,0
21,01/22/2019 03,40.77.167.129,9,0,0
22,01/22/2019 03,66.249.66.91,19,0,0
23,01/22/2019 03,34.247.132.53,1,0,0
24,01/22/2019 03,31.56.96.51,21,0,0
25,01/22/2019 03,54.36.148.17,1,0,0
26,01/22/2019 03,5.78.198.52,8,8,0
27,01/22/2019 03,66.249.64.66,1,0,0
28,01/22/2019 03,207.46.13.115,7,0,0
29,01/22/2019 03,172.20.2.174,1,0,0
30,01/22/2019 03,5.160.157.20,1,0,0
31,01/22/2019 03,54.36.149.92,1,0,0
32,01/22/2019 03,5.78.180.75,1,0,0
33,01/22/2019 03,89.199.193.251,1,0,0
34,01/22/2019 03,91.99.72.15,16,0,0
35,01/22/2019 03,54.36.148.10,1,0,0
36,01/22/2019 03,54.36.148.161,1,0,0
37,01/22/2019 03,173.249.54.67,6,0,0
38,01/22/2019 03,54.36.149.58,1,0,0
39,01/22/2019 03,54.36.149.63,1,0,0
40,01/22/2019 03,104.194.24.33,1,0,0
41,01/22/2019 03,5.209.200.218,21,0,0
42,01/22/2019 03,54.36.149.41,1,0,0
43,01/22/2019 03,5.211.97.39,32,0,4
44,01/22/2019 03,5.112.52.254,2,0,0
45,01/22/2019 04,5.211.97.40,33,34,33
46,01/22/2019 04,104.194.24.34,1,1,1
47,01/22/2019 04,2.177.12.141,17,18,17
48,01/22/2019 04,54.36.148.19,0,1,1
49,01/22/2019 04,5.112.52.255,2,2,2
50,01/22/2019 04,54.36.149.93,0,1,1
51,01/22/2019 04,54.36.148.11,1,1,1
52,01/22/2019 04,204.18.198.249,8,10,10
53,01/22/2019 04,40.77.167.130,9,8,9
54,01/22/2019 04,66.111.54.250,36,36,36
55,01/22/2019 04,66.249.66.195,29,31,29
56,01/22/2019 04,5.209.200.219,20,21,21
57,01/22/2019 04,54.36.149.18,1,1,1
58,01/22/2019 04,54.36.149.42,1,0,1
59,01/22/2019 04,31.56.96.52,21,22,21
60,01/22/2019 04,157.55.39.246,3,3,3
61,01/22/2019 04,54.36.148.233,1,1,1
62,01/22/2019 04,66.249.66.92,18,20,20
63,01/22/2019 04,66.249.64.67,1,0,1
64,01/22/2019 04,51.15.15.55,2,2,2
65,01/22/2019 04,2.179.141.99,6,6,6
66,01/22/2019 04,207.46.13.116,7,7,7
67,01/22/2019 04,2.185.221.80,0,1,1
68,01/22/2019 04,178.253.33.52,5,6,6
69,01/22/2019 04,173.249.54.68,5,6,5
70,01/22/2019 04,46.224.77.33,3,4,4
71,01/22/2019 04,5.78.180.76,1,1,1
72,01/22/2019 04,54.36.149.59,1,1,1
73,01/22/2019 04,54.36.148.162,1,1,1
74,01/22/2019 04,5.160.157.21,2,2,2
75,01/22/2019 04,54.36.149.71,1,1,1
76,01/22/2019 04,54.36.148.118,1,1,1
77,01/22/2019 04,54.36.148.33,1,1,1
78,01/22/2019 04,54.36.149.64,1,1,1
79,01/22/2019 04,5.78.198.53,15,16,15
80,01/22/2019 04,54.36.148.18,1,1,1
81,01/22/2019 04,172.20.2.175,1,1,1
82,01/22/2019 04,5.62.206.250,1,1,1
83,01/22/2019 04,54.36.148.88,1,1,1
84,01/22/2019 04,207.46.13.137,10,10,11
85,01/22/2019 04,17.58.102.44,3,3,3
86,01/22/2019 04,89.199.193.252,1,1,1
87,01/22/2019 04,34.247.132.54,1,1,1
88,01/22/2019 04,207.46.13.105,6,6,6
89,01/22/2019 04,91.99.72.16,13,16,16
